Site,Date,Time,Parameter,Value
CUS,3/10/2020,2:00,SO2,-0.19
CUS,1/28/2020,1:00,SO2,-0.19
CUS,3/22/2020,19:00,SO2,-0.19
CUS,8/12/2020,4:00,SO2,-0.19
CUS,3/12/2020,0:00,SO2,-0.19
CUS,4/27/2020,1:00,SO2,-0.19
CUS,1/9/2020,3:00,SO2,-0.18
CUS,12/9/2020,4:00,SO2,-0.18
CUS,8/20/2020,1:00,SO2,-0.18
CUS,6/11/2020,3:00,SO2,-0.18
CUS,1/24/2020,19:00,SO2,-0.18
CUS,4/20/2020,3:00,SO2,-0.18
CUS,2/13/2020,0:00,SO2,-0.18
CUS,4/11/2020,21:00,SO2,-0.18
CUS,6/1/2020,1:00,SO2,-0.18
CUS,1/24/2020,3:00,SO2,-0.18
CUS,4/30/2020,3:00,SO2,-0.18
CUS,1/23/2020,21:00,SO2,-0.18
CUS,1/2/2020,23:00,SO2,-0.18
CUS,1/21/2020,1:00,SO2,-0.18
CUS,11/12/2020,20:00,SO2,-0.18
CUS,8/9/2020,19:00,SO2,-0.18
CUS,1/9/2020,1:00,SO2,-0.18
CUS,10/30/2020,23:00,SO2,-0.18
CUS,12/4/2020,2:00,SO2,-0.18
CUS,1/2/2020,19:00,SO2,-0.18
CUS,2/10/2020,1:00,SO2,-0.18
CUS,7/25/2020,6:00,SO2,-0.18
CUS,4/20/2020,6:00,SO2,-0.18
CUS,1/21/2020,23:00,SO2,-0.18
CUS,10/24/2020,23:00,SO2,-0.18
CUS,2/11/2021,1:00,SO2,-0.18
CUS,11/22/2020,6:00,SO2,-0.18
CUS,11/3/2020,22:00,SO2,-0.18
CUS,1/8/2020,23:00,SO2,-0.18
CUS,2/29/2020,13:00,SO2,-0.18
CUS,10/12/2020,23:00,SO2,-0.18
CUS,12/6/2020,5:00,SO2,-0.18
CUS,10/13/2020,2:00,SO2,-0.18
CUS,4/25/2020,5:00,SO2,-0.18
CUS,3/15/2020,23:00,SO2,-0.18
CUS,8/7/2020,5:00,SO2,-0.18
CUS,4/16/2020,2:00,SO2,-0.18
CUS,2/4/2021,20:00,SO2,-0.18
CUS,5/9/2020,1:00,SO2,-0.17
CUS,1/5/2020,18:00,SO2,-0.17
CUS,2/26/2021,19:00,SO2,-0.17
CUS,3/18/2020,2:00,SO2,-0.17
CUS,9/6/2020,12:00,SO2,-0.17
CUS,2/18/2020,2:00,SO2,-0.17
CUS,3/28/2020,23:00,SO2,-0.17
CUS,1/29/2020,23:00,SO2,-0.17
CUS,12/7/2020,19:00,SO2,-0.17
CUS,4/6/2020,4:00,NO,-0.17
CUS,1/12/2020,2:00,SO2,-0.17
CUS,1/23/2020,23:00,SO2,-0.17
CUS,9/24/2020,20:00,SO2,-0.17
CUS,4/19/2020,23:00,SO2,-0.17
CUS,1/3/2020,11:00,SO2,-0.17
CUS,7/19/2020,22:00,SO2,-0.17
CUS,7/20/2020,21:00,SO2,-0.17
CUS,2/14/2020,21:00,SO2,-0.17
CUS,4/9/2020,12:00,SO2,-0.17
CUS,2/23/2020,18:00,SO2,-0.17
CUS,7/30/2020,5:00,SO2,-0.17
CUS,4/28/2020,23:00,SO2,-0.17
CUS,3/7/2021,2:00,NO,-0.17
CUS,3/7/2021,2:00,NO,-0.17
CUS,4/24/2020,4:00,NO,-0.17
CUS,2/25/2020,2:00,SO2,-0.17
CUS,11/10/2020,20:00,SO2,-0.17
CUS,4/13/2020,8:00,SO2,-0.17
CUS,8/7/2020,1:00,SO2,-0.17
CUS,8/9/2020,1:00,SO2,-0.17
CUS,12/3/2020,4:00,SO2,-0.17
CUS,1/18/2020,3:00,SO2,-0.17
CUS,2/16/2020,5:00,SO2,-0.17
CUS,3/16/2020,2:00,SO2,-0.17
CUS,8/21/2020,2:00,NO,-0.17
CUS,2/29/2020,5:00,SO2,-0.17
CUS,4/5/2020,1:00,NO,-0.17
CUS,10/12/2020,1:00,SO2,-0.17
CUS,9/6/2020,22:00,SO2,-0.17
CUS,1/2/2021,1:00,SO2,-0.17
CUS,2/15/2020,3:00,SO2,-0.17
CUS,1/11/2020,3:00,SO2,-0.17
CUS,2/9/2020,0:00,SO2,-0.17
CUS,2/22/2020,3:00,SO2,-0.17
CUS,12/15/2020,0:00,SO2,-0.16
CUS,11/15/2020,23:00,SO2,-0.16
CUS,4/10/2020,1:00,SO2,-0.16
CUS,2/13/2020,2:00,SO2,-0.16
CUS,3/21/2020,23:00,SO2,-0.16
CUS,11/24/2020,22:00,SO2,-0.16
CUS,4/4/2020,2:00,NO,-0.16
CUS,4/8/2020,14:00,SO2,-0.16
CUS,4/11/2020,0:00,SO2,-0.16
CUS,5/8/2020,1:00,SO2,-0.16
CUS,2/16/2020,14:00,SO2,-0.16
CUS,2/29/2020,23:00,SO2,-0.16
CUS,2/21/2020,21:00,SO2,-0.16
CUS,8/12/2020,2:00,SO2,-0.16
CUS,9/2/2020,2:00,SO2,-0.16
CUS,2/2/2020,16:00,SO2,-0.16
CUS,9/24/2020,23:00,SO2,-0.16
CUS,7/22/2020,5:00,SO2,-0.16
CUS,6/3/2020,20:00,SO2,-0.16
CUS,11/13/2020,3:00,SO2,-0.16
CUS,7/21/2020,1:00,SO2,-0.16
CUS,1/3/2020,8:00,SO2,-0.16
CUS,3/22/2020,8:00,SO2,-0.16
CUS,4/2/2020,2:00,SO2,-0.16
CUS,12/24/2020,23:00,SO2,-0.16
CUS,2/1/2021,1:00,SO2,-0.16
CUS,1/25/2020,3:00,SO2,-0.16
CUS,3/2/2020,3:00,SO2,-0.16
CUS,2/8/2020,3:00,SO2,-0.16
CUS,9/6/2020,1:00,SO2,-0.16
CUS,3/7/2020,4:00,SO2,-0.16
CUS,8/1/2020,4:00,SO2,-0.16
CUS,3/23/2020,18:00,SO2,-0.16
CUS,2/14/2020,19:00,SO2,-0.16
CUS,10/13/2020,5:00,SO2,-0.16
CUS,8/26/2020,1:00,SO2,-0.16
CUS,11/9/2020,0:00,SO2,-0.16
CUS,1/30/2021,4:00,SO2,-0.16
CUS,8/23/2020,2:00,NO,-0.16
CUS,6/19/2020,5:00,SO2,-0.16
CUS,8/8/2020,1:00,SO2,-0.15
CUS,10/17/2020,3:00,SO2,-0.15
CUS,6/18/2020,23:00,SO2,-0.15
CUS,4/15/2020,3:00,NO,-0.15
CUS,11/10/2020,1:00,SO2,-0.15
CUS,1/4/2020,4:00,SO2,-0.15
CUS,7/26/2020,15:00,SO2,-0.15
